person_id;person_trip_id;leg_index;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;euclidean_distance;origin_link_id;destination_link_id
218714;0;0;704524.2040187082;5359479.157654702;704524.2040187082;5359479.157654702;15173.0;61.0;0.0;77.0030016915621;walk;0.0;40088;40088
94402;0;0;697285.8032308414;5357079.8141817115;697285.8032308414;5357079.8141817115;14892.0;375.0;0.0;469.437905712075;walk;0.0;54716;54716
144161;0;1;716629.8986803344;5359189.123366887;701299.194149443;5364603.258463265;13776.0;1512.0;24483.045791427234;24483.045791427234;car;16258.63955733492;53770;5577
149505;0;0;713114.0909822616;5366245.431198466;713114.0909822616;5366245.431198466;15227.0;64.0;0.0;80.18082525977657;walk;0.0;53295;53295
159481;0;0;716883.0836896985;5372972.507653417;716883.0836896985;5372972.507653417;15297.0;25.0;0.0;32.06133381531981;walk;0.0;80529;80529
218677;0;0;705006.1143933765;5366532.816238163;705006.1143933765;5366532.816238163;15240.0;91.0;0.0;114.57910569802097;walk;0.0;2385;2385
298814;0;1;716076.7204615469;5351555.784794647;714257.401162081;5355031.018293802;14468.0;895.0;6962.333044448562;6962.333044448562;car;3922.6484149174294;41040;72841
169596;0;1;692419.5432439178;5404940.802042619;684631.1792029967;5397421.380676267;13976.0;1402.0;17723.77225785396;17723.77225785396;car;10825.909297545059;62115;34332
298814;0;2;714257.401162081;5355031.018293802;714257.401162081;5355031.018293802;15363.0;39.0;0.0;49.09688320469793;walk;0.0;72841;72841
271495;0;0;736495.1772948011;5361558.5012754;736495.1772948011;5361558.5012754;15277.0;143.0;0.0;178.81537816793323;walk;0.0;4436;4436
260450;0;0;680924.1004275833;5378451.621704528;680924.1004275833;5378451.621704528;15375.0;46.0;0.0;58.735206015302566;walk;0.0;35488;35488
277499;0;0;703509.9824468461;5364783.905416306;703509.9824468461;5364783.905416306;15406.0;24.0;0.0;30.57130840756329;walk;0.0;70813;70813
149754;0;0;711064.7992374386;5354102.333137827;711064.7992374386;5354102.333137827;15379.0;64.0;0.0;80.37605375850553;walk;0.0;79924;79924
144161;0;2;701299.194149443;5364603.258463265;701299.194149443;5364603.258463265;15288.0;177.0;0.0;222.28045983257036;walk;0.0;5577;5577
155073;0;1;700860.6374653123;5358386.591295779;702680.8350308242;5362751.6709575;15163.0;313.0;0.0;5046.5777692859765;car_passenger;4729.380470068887;18096;993
186376;0;1;698965.5199533997;5364110.400800835;703281.9389366154;5364889.977501478;14615.0;868.0;5280.136456591644;5280.136456591644;car;4386.252691176127;64088;56246
251657;0;1;704618.7908079501;5356321.17643548;703130.0097196044;5355080.942702044;15117.0;378.0;2887.64677479261;2887.64677479261;car;1937.6916273154995;28047;4467
157401;0;0;702277.6527976088;5352917.558116328;702277.6527976088;5352917.558116328;14963.0;534.0;0.0;667.5140841850066;walk;0.0;47235;47235
155073;0;2;702680.8350308242;5362751.6709575;702680.8350308242;5362751.6709575;15476.0;54.0;0.0;67.64678949132819;walk;0.0;993;993
171901;0;0;688198.8497652464;5374125.354622419;688198.8497652464;5374125.354622419;15415.0;125.0;0.0;156.9571914742583;walk;0.0;5591;5591
307446;0;0;701299.194149443;5364603.258463265;701299.194149443;5364603.258463265;15369.0;177.0;0.0;222.28045983257036;walk;0.0;5577;5577
277410;0;0;705349.1411474318;5362695.956194256;705349.1411474318;5362695.956194256;15392.0;154.0;0.0;192.89554877877495;walk;0.0;5946;5946
157308;0;0;703089.1643375792;5354310.632401929;703089.1643375792;5354310.632401929;15508.0;39.0;0.0;49.423862304610914;walk;0.0;52366;52366
251657;0;2;703130.0097196044;5355080.942702044;703130.0097196044;5355080.942702044;15495.0;57.0;0.0;72.29667543648321;walk;0.0;4467;4467
169596;0;2;684631.1792029967;5397421.380676267;684631.1792029967;5397421.380676267;15378.0;175.0;0.0;219.49917289804443;walk;0.0;34332;34332
150953;0;0;716416.1544384158;5363126.4568871325;716416.1544384158;5363126.4568871325;15467.0;87.0;0.0;109.10855047458163;walk;0.0;67009;67009
