person_id;activity_index;purpose;start_time;end_time;x;y;facility_id;link_id
309850;0;home;-Infinity;52554.0;687094.279948;5359109.10913;home_309850;4602
80747;2;home;52555.0;Infinity;716878.647743;5354629.050345;home_80747;68660
218234;1;leisure;52555.0;57512.0;704030.841125;5359318.887756;sec_2587;55370
385113;0;home;-Infinity;52557.0;697367.633041;5356896.972443;home_385113;54718
391784;5;leisure;52557.0;55193.0;686573.407586;5381546.31206;sec_2919;1775
348149;4;other;52557.0;53410.0;700752.454721;5358231.357983;sec_7699;6555
314111;7;work;52560.0;57660.0;703564.217355;5356228.257867;work_5398;62558
249515;5;work;52560.0;56832.0;701461.885184;5364679.185414;work_5212;5577
154759;3;other;52560.0;59490.0;705028.193225;5363489.709133;sec_8275;5859
85221;0;home;-Infinity;52563.0;708442.660055;5368241.494207;home_85221;7178
386670;3;leisure;52563.0;54031.0;704875.096127;5370014.027869;sec_2771;18399
188530;1;other;52564.0;53012.0;708178.306685;5358309.632597;sec_6409;30427
232205;2;leisure;52568.0;55666.0;685678.957787;5374511.878047;sec_3066;66208
373062;0;home;-Infinity;52569.0;719970.346936;5339930.895923;home_373062;46882
436948;1;leisure;52571.0;57687.0;711843.659501;5371690.376485;sec_2757;34024
232854;3;work;52571.0;71551.0;685298.628074;5378139.688789;work_8080;22176
127138;3;work;52571.0;70197.0;703730.849679;5361921.472888;work_5003;55073
259432;5;home;52574.0;Infinity;684092.584464;5399188.801947;home_259432;74411
26110;0;home;-Infinity;52577.0;677959.913667;5376025.512985;home_26110;9737
275719;2;home;52577.0;Infinity;694830.38489;5353184.78525;home_275719;11324
400565;0;home;-Infinity;52578.0;693853.364314;5352741.295199;home_400565;21588
183774;4;home;52578.0;54875.0;705555.696514;5386067.798968;home_183774;13989
252460;4;other;52579.0;54254.0;676286.006226;5377863.206002;sec_2799;51486
22146;1;leisure;52581.0;59908.0;708525.293276;5382087.253571;sec_2684;78527
10603;3;education;52581.0;64972.0;683470.405979;5399364.15473;edu_620;28478
367602;0;home;-Infinity;52587.0;693663.59812;5398604.82481;home_367602;41925
399337;3;other;52587.0;54490.0;713127.973449;5354590.310578;sec_6318;57992
354578;1;leisure;52588.0;60665.0;688673.456261;5369506.952647;sec_2621;10873
370751;1;leisure;52591.0;56455.0;714916.101968;5354730.182771;sec_2170;36455
185201;2;home;52591.0;53084.0;702115.334786;5365944.228475;home_185201;51682
84289;0;home;-Infinity;52593.0;703883.943414;5367130.604703;home_84289;31498
306562;0;home;-Infinity;52597.0;728217.95801;5362576.246519;home_306562;50225
397923;4;leisure;52597.0;61676.0;712300.207085;5354326.590679;sec_2365;54211
50458;0;home;-Infinity;52598.0;731721.183722;5359831.509066;home_50458;74902
140529;4;shop;52599.0;59144.0;698164.24433;5404698.658077;sec_1806;75209
319384;1;shop;52600.0;66367.0;697934.583992;5355479.273232;sec_1678;50856
276078;3;work;52601.0;69495.0;694973.746748;5353586.101626;work_3942;36103
87878;3;work;52602.0;57717.0;687720.298407;5377495.951794;work_8078;17587
369167;1;other;52603.0;55772.0;675049.677662;5385622.290266;sec_2824;50339
136184;1;leisure;52604.0;54268.0;677490.096128;5381390.710508;sec_2918;74393
396895;0;home;-Infinity;52605.0;715343.657804;5354395.396296;home_396895;51806
315731;3;work;52605.0;65886.0;692471.508239;5365264.798975;work_5730;61963
387524;0;home;-Infinity;52611.0;672893.624072;5369644.777504;home_387524;78749
401390;2;home;52612.0;Infinity;705055.747005;5364285.764304;home_401390;4279
318355;2;education;52613.0;60713.0;701783.453815;5365262.336344;edu_435;31307
437106;0;home;-Infinity;52614.0;699693.004253;5373567.777313;home_437106;36521
385476;0;home;-Infinity;52617.0;689594.225156;5367959.125489;home_385476;26829
199109;3;leisure;52618.0;59364.0;687244.286111;5378838.530967;sec_2886;25459
313897;3;other;52619.0;58174.0;700012.033839;5360068.791788;sec_7688;46642
249230;0;home;-Infinity;52620.0;704986.912645;5366623.772141;home_249230;22201
89807;2;home;52621.0;58865.0;714735.921081;5354429.776096;home_89807;52457
207522;2;shop;52621.0;56398.0;716447.998288;5355010.648431;sec_948;51947
201385;6;work;52621.0;63162.0;684641.30637;5398040.175711;work_7907;31785
370855;1;leisure;52624.0;56404.0;719144.342285;5354227.567301;sec_2109;79730
256430;6;home;52627.0;57610.0;692159.2383;5366841.020862;home_256430;9906
221196;3;work;52627.0;74174.0;705313.709358;5359077.690095;work_5237;51090
184199;6;other;52627.0;52627.0;690580.272215;5357567.531156;sec_7505;8784
76454;2;home;52634.0;Infinity;708322.869734;5371294.695;home_76454;34599
396763;0;home;-Infinity;52635.0;714553.979734;5354511.434187;home_396763;27472
81158;1;leisure;52639.0;53149.0;714916.101968;5354730.182771;sec_2170;36455
436552;1;leisure;52644.0;53142.0;716957.953998;5375431.588448;sec_2752;78994
425898;4;home;52647.0;Infinity;696522.781406;5362963.367388;home_425898;4058
388388;3;leisure;52649.0;60859.0;681745.805924;5392360.97346;sec_3076;55676
300089;2;leisure;52649.0;59522.0;716435.101919;5358497.256829;sec_2173;51880
97432;2;other;52650.0;53957.0;730286.581537;5349052.227842;sec_3655;2541
61879;1;leisure;52652.0;63150.0;675171.808994;5385454.013676;sec_2802;50325
387777;4;leisure;52652.0;63332.0;695403.963169;5358373.11896;sec_2697;77158
214987;3;other;52657.0;61653.0;718548.659007;5364841.332295;sec_6938;47025
197803;4;work;52657.0;72712.0;698219.522259;5403806.613116;work_8026;18623
167420;1;work;52657.0;71879.0;686037.950431;5378383.592299;work_8287;12233
343225;2;shop;52658.0;57553.0;709043.157468;5345682.194426;sec_1164;77883
227487;0;home;-Infinity;52659.0;717630.851346;5382386.974661;home_227487;11414
428345;0;home;-Infinity;52660.0;704849.316087;5363856.59978;home_428345;18533
