person_id;operator_id;main_mode;vehicle_id;origin_link_id;origin_x;origin_y;destination_link_id;destination_x;destination_y;departure_time;arrival_time;waiting_time;distance
170176;drt;drt;NaN;18192;692590.2234706839;5392037.95790305;null;NaN;NaN;19399.0;NaN;NaN;0.0
177724;drt;drt;NaN;14241;728825.2391977939;5348125.937977251;null;NaN;NaN;19401.0;NaN;NaN;0.0
153287;drt;drt;NaN;50419;687527.5771103364;5359184.982412955;null;NaN;NaN;19415.0;NaN;NaN;0.0
305195;drt;drt;NaN;72096;712785.9545596822;5354386.9446684625;null;NaN;NaN;19420.0;NaN;NaN;0.0
223219;drt;drt;NaN;25303;709154.6258063416;5364153.499926437;null;NaN;NaN;19435.0;NaN;NaN;0.0
178159;drt;drt;NaN;13209;706646.6192392557;5351074.558969161;null;NaN;NaN;19450.0;NaN;NaN;0.0
258925;drt;drt;NaN;57116;679547.744559044;5366764.586120322;null;NaN;NaN;19499.0;NaN;NaN;0.0
90973;drt;drt;NaN;24158;730753.3418951393;5359683.770956185;null;NaN;NaN;19502.0;NaN;NaN;0.0
324571;drt;drt;NaN;4102;683542.0516322191;5399051.180162972;null;NaN;NaN;19507.0;NaN;NaN;0.0
283641;drt;drt;NaN;45071;706746.1438086295;5379852.446939003;null;NaN;NaN;19522.0;NaN;NaN;0.0
176826;drt;drt;NaN;52368;708980.1826867573;5345700.016953696;null;NaN;NaN;19530.0;NaN;NaN;0.0
90656;drt;drt;NaN;10469;711181.2099653844;5350808.616450953;null;NaN;NaN;19540.0;NaN;NaN;0.0
240053;drt;drt;NaN;20618;716581.8772512164;5358891.5395562;null;NaN;NaN;19544.0;NaN;NaN;0.0
215457;drt;drt;NaN;68499;700794.3812001802;5380583.434536403;null;NaN;NaN;19545.0;NaN;NaN;0.0
239816;drt;drt;NaN;77592;716703.1709861432;5356398.325318585;null;NaN;NaN;19569.0;NaN;NaN;0.0
233036;drt;drt;NaN;68865;687152.0537376603;5378843.384895144;null;NaN;NaN;19614.0;NaN;NaN;0.0
149766;drt;drt;NaN;79926;710395.7397178933;5354078.627840109;null;NaN;NaN;19634.0;NaN;NaN;0.0
120519;drt;drt;NaN;17326;720390.4066833046;5342294.230998658;null;NaN;NaN;19702.0;NaN;NaN;0.0
283880;drt;drt;NaN;38660;697176.552009291;5355885.344674831;null;NaN;NaN;19804.0;NaN;NaN;0.0
164617;drt;drt;NaN;50467;673287.8095190348;5370195.949429889;null;NaN;NaN;19871.0;NaN;NaN;0.0
280325;drt;drt;NaN;29894;704701.3690249834;5354921.4664573595;null;NaN;NaN;19908.0;NaN;NaN;0.0
257556;drt;drt;NaN;7816;708163.0952466025;5372213.975714041;null;NaN;NaN;19930.0;NaN;NaN;0.0
72842;drt;drt;NaN;53399;705102.9783302464;5363754.009988716;null;NaN;NaN;19940.0;NaN;NaN;0.0
221259;drt;drt;NaN;66326;702836.2823187677;5354396.630172761;null;NaN;NaN;19958.0;NaN;NaN;0.0
273544;drt;drt;NaN;70534;711124.1404295661;5355833.50882672;null;NaN;NaN;19995.0;NaN;NaN;0.0
249036;drt;drt;NaN;33294;704121.4786293822;5365061.285505835;null;NaN;NaN;20035.0;NaN;NaN;0.0
271592;drt;drt;NaN;2433;726298.250468384;5354339.638807908;null;NaN;NaN;20045.0;NaN;NaN;0.0
163580;drt;drt;NaN;43697;711640.3130599586;5371693.74759898;null;NaN;NaN;20052.0;NaN;NaN;0.0
251425;drt;drt;NaN;66698;705428.8614598475;5365671.662787387;null;NaN;NaN;20063.0;NaN;NaN;0.0
204986;drt;drt;NaN;77859;725613.311898628;5354868.542732276;null;NaN;NaN;20111.0;NaN;NaN;0.0
305451;drt;drt;NaN;4527;710918.4668848393;5353851.659704763;null;NaN;NaN;20122.0;NaN;NaN;0.0
288454;drt;drt;NaN;75514;683339.7889883532;5399411.00066155;null;NaN;NaN;20161.0;NaN;NaN;0.0
181843;drt;drt;NaN;66945;719513.1762423557;5364489.117499087;null;NaN;NaN;20167.0;NaN;NaN;0.0
127069;drt;drt;NaN;40581;705326.7122326936;5359601.417722022;null;NaN;NaN;20199.0;NaN;NaN;0.0
198695;drt;drt;NaN;58000;684622.3969896833;5378062.5544419335;null;NaN;NaN;20215.0;NaN;NaN;0.0
116293;drt;drt;NaN;79926;710395.7397178933;5354078.627840109;null;NaN;NaN;20295.0;NaN;NaN;0.0
165413;drt;drt;NaN;36914;687444.4222929417;5400740.764749231;null;NaN;NaN;20327.0;NaN;NaN;0.0
270003;drt;drt;NaN;53619;718417.5268962504;5359974.448185148;null;NaN;NaN;20333.0;NaN;NaN;0.0
152937;drt;drt;NaN;57314;695816.7000969914;5353625.565290355;null;NaN;NaN;20386.0;NaN;NaN;0.0
