person_id;person_trip_id;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;preceding_purpose;following_purpose;returning;euclidean_distance;origin_link_id;destination_link_id
82796;5;730503.2779367301;5359585.2017263435;732981.5870401034;5367066.341889005;73974.0;1899.0;11635.008700858883;12183.927357336264;car;leisure;home;true;7880.9564232555285;38389;4481
90168;2;713033.4516499466;5352382.154242039;717120.6909875786;5357194.024908511;75126.0;755.0;0.0;8468.835708998178;car_passenger;leisure;leisure;false;6313.4479259705795;53407;12678
380891;1;712027.5996522971;5384318.697116832;702307.2520495345;5365792.846363453;73057.0;2832.0;29147.90444839462;29289.38813109241;car;leisure;home;true;20921.09709491853;71029;72989
279693;2;703003.3951316527;5364601.04168318;701299.194149443;5364603.258463265;75284.0;626.0;2438.575418056984;2681.111746830185;car;home;work;false;1704.2024239739417;74975;5577
161009;1;692924.7913970952;5357421.276369158;697941.3491465054;5353996.768950393;74289.0;1624.0;9143.453636960388;9738.885068077896;car;work;home;true;6073.969271764715;14461;64868
269066;3;714749.2033559573;5353207.133947886;715283.887468418;5355260.895631152;75140.0;774.0;3942.1467316580934;4153.461636355446;car;work;home;true;2122.2215133609375;61132;27901
349551;1;707076.0070811716;5375416.821679882;703290.1052593444;5365243.011889685;74580.0;1340.0;14891.478441853209;14951.026640678696;car;leisure;home;true;10855.388443147443;43133;33878
199710;2;684745.1550518048;5378813.74947463;684745.1550518048;5378813.74947463;75902.0;24.0;0.0;32.23433360393304;car_passenger;home;home;true;0.0;77156;77156
115704;3;738427.3729845891;5354020.376330778;738056.6257505307;5353770.627801683;75403.0;541.0;0.0;677.2142554102603;walk;leisure;home;true;447.0210725985097;71673;71886
234616;3;688102.4554771074;5374139.551118523;677843.3279425986;5376076.249374906;74716.0;1246.0;14043.047432038089;14117.527966193547;car;leisure;home;true;10440.330354236541;5589;70502
137259;7;697699.4493577693;5404875.5369887315;697839.429507861;5404312.499161016;75777.0;201.0;704.0467934080177;763.2597312587238;car;leisure;home;true;580.177591654514;6007;36723
359780;1;684147.0217159118;5382786.924684079;676529.5701095888;5387911.56553819;66444.0;9564.0;0.0;11955.455436928125;walk;leisure;home;true;9180.823103529223;58456;54503
324943;3;682554.5632791752;5398449.210390325;681830.2493450436;5398039.13456586;75219.0;795.0;0.0;993.8665800515116;walk;work;home;true;832.3417909654881;39585;21309
131477;1;703558.7669661022;5365359.078205872;692451.1419776017;5363622.37453725;74083.0;1943.0;16694.867636842173;16821.660329895363;car;work;leisure;false;11242.574105504787;6206;47168
266188;2;734580.1089727427;5354679.56073131;731713.8981111661;5351097.771613554;75439.0;599.0;0.0;7934.581398933476;car_passenger;work;home;true;4587.415174921184;70152;25404
121118;1;713958.7187086104;5359787.59164203;712145.6322645878;5361458.544416438;72908.0;3136.0;0.0;3920.6857918151404;walk;work;home;true;2465.6369618825115;26638;60576
175646;6;721145.1931429298;5349232.018060356;715694.6740728708;5354527.15232729;75202.0;847.0;8939.86967870417;8978.52804974176;car;leisure;home;true;7599.118701397557;38472;72965
409926;0;693891.5125716287;5386121.3419130705;706143.6951029922;5383968.39892681;74501.0;1559.0;15360.080097787502;15433.07177917282;car;home;leisure;false;12439.901136421355;46686;23140
329894;2;688803.3715611065;5402200.49967304;681414.516738867;5394625.642062625;75001.0;1082.0;0.0;24377.575588476833;car_passenger;home;leisure;false;10581.759938790417;72793;42363
121962;3;731839.9144495189;5363704.638861379;731600.215202366;5363598.159131362;75877.0;207.0;0.0;259.81779245734066;walk;leisure;home;true;262.2854589756395;20838;24771
369822;4;732828.5148570107;5344804.0061812475;735652.1102566379;5354902.350222956;74598.0;1501.0;12814.6898665375;12973.581863899264;car;shop;leisure;false;10485.668474900054;262;37394
110443;3;673114.38291561;5370054.1058997465;672962.7279864718;5369944.7355279215;75921.0;178.0;0.0;222.68870834790604;walk;home;leisure;false;186.97886448752945;42749;10153
133094;3;696306.0906279514;5354197.62668669;694068.3557069842;5356252.628277998;75559.0;566.0;4663.0943855540345;4771.1685882929305;car;work;home;true;3038.1720025032996;65201;35263
214688;1;714082.0403951756;5361850.8440241935;719968.7826283425;5368166.076242996;75159.0;971.0;18835.056410220357;18888.865650236687;car;work;home;true;8633.417173816955;43784;10895
253381;3;703558.2222054509;5367564.892848269;707077.9815904631;5365781.819827922;74859.0;1273.0;0.0;5306.491853156386;bicycle;work;home;true;3945.6375307765265;56620;35838
158575;2;710339.3034069163;5368440.712862121;710749.0669445585;5368738.800150437;75634.0;498.0;0.0;622.9976299880756;walk;shop;leisure;false;506.7170692179575;79659;48730
155936;2;702646.6537687713;5364372.264241757;699103.0483513356;5364013.134836486;75303.0;830.0;5993.454202815105;6061.13350890496;car;work;home;true;3561.7570501383902;16025;54672
95714;1;701156.9063256627;5364989.329067202;684099.6136492282;5377854.112882089;74316.0;1818.0;0.0;48912.459867226404;car_passenger;education;home;true;21364.781675769915;54774;9065
70430;4;719896.7353661775;5343465.89556608;719905.8872710565;5343665.105315304;75935.0;204.0;0.0;255.67343993128677;walk;leisure;other;false;199.41986247372898;47129;366
286837;5;706662.0953862129;5370703.563682079;704634.0732551143;5371017.703339439;75385.0;763.0;2297.817933127023;2924.7203719725694;car;other;home;true;2052.207954509476;30416;51719
220723;1;703281.9389366154;5364889.977501478;700436.1379868538;5360269.033475273;74954.0;1195.0;7736.549616997902;7934.276005419621;car;work;home;true;5426.942669586721;56246;49514
122398;3;702350.7052277457;5364197.048932575;716410.9726659677;5363929.33273588;74401.0;1748.0;20171.391178239883;20261.781508095162;car;education;home;true;14062.815948319068;131;44262
92772;3;705421.0828704666;5364083.541769346;696907.1134193129;5362065.782371221;74720.0;1440.0;14310.227999188548;14488.804728405508;car;work;home;true;8749.801643688947;66155;47050
82144;3;730777.7709711301;5355862.82826309;730733.7515617725;5355908.990312371;76048.0;116.0;0.0;145.38856978575754;walk;home;leisure;false;63.785916894317175;3789;3831
293169;3;692950.5928667847;5387642.536152974;693337.6884085851;5383419.019230083;74869.0;1304.0;0.0;5434.854311562651;bicycle;work;home;true;4241.218947004465;19450;38616
136795;5;687391.9796597571;5398167.045070706;682225.4716643493;5399254.305957451;74480.0;1694.0;6991.169721872907;8177.041772821093;car;leisure;home;true;5279.672442724013;10287;70233
