person_id;person_trip_id;leg_index;access_stop_id;egress_stop_id;transit_line_id;transit_route_id;departure_id;access_area_id;egress_area_id;transit_mode
131397;0;1;159131.link:26976;662009.link:37849;2556;1718517;1718517_07:15:00;384423.0;96974.0;rail
35874;0;1;199199.link:46517;481231.link:50015;373;226990;226990_06:53:00;664177.0;566620.0;bus
253242;0;1;69473.link:79402;367598.link:56070;13951;298549;298549_07:09:00;279185.0;26842.0;bus
81408;0;1;38097.link:56448;108621.link:56818;23106;996655;1571049_06:53:00;532962.0;240045.0;bus
67780;0;1;284693.link:58222;536295.link:74022;9292;1154943;1154943_07:25:00;189869.0;597954.0;bus
83545;0;1;263484.link:9534;514565.link:14296;21480;915170;1125429_07:04:00;309005.0;485025.0;bus
207142;0;1;531722.link:56414;108621.link:56818;23106;996655;1571049_06:53:00;181821.0;240045.0;bus
225813;0;1;670907.link:9293;657926.link:12503;16059;662596;622881_07:14:00;601422.0;649912.0;rail
162275;0;1;435758.link:27709;87198.link:26379;19170;1268747;278857_07:09:00;483239.0;298776.0;bus
68507;0;1;161052.link:27151;558612.link:81260;14914;618201;708003_07:13:00;125439.0;477969.0;bus
294451;0;1;499961.link:58056;291778.link:78939;21536;1536122;1536122_06:50:00;437353.0;316481.0;bus
273260;0;5;581508.link:54324;674010.link:69003;21480;915170;1125429_07:04:00;51975.0;91217.0;bus
133684;0;1;581508.link:54324;674010.link:69003;21480;915170;1125429_07:04:00;51975.0;91217.0;bus
129454;0;1;251532.link:19502;586600.link:13589;3654;295338;295338_06:45:00;526672.0;96974.0;bus
126867;0;1;130567.link:70639;575778.link:69591;22934;948975;1380967_07:09:00;667295.0;96062.0;bus
94763;0;1;521412.link:45898;148862.link:48741;18695;1246412;1246412_07:01:00;25153.0;384423.0;bus
41056;0;1;247690.link:24111;271856.link:42363;24400;910485;1083555_07:11:00;110406.0;326505.0;bus
151935;0;1;440234.link:3443;537962.link:81758;9289;1137759;49338_07:19:00;639853.0;294771.0;bus
129385;0;1;131670.link:67791;586600.link:13589;3654;295338;295338_06:45:00;252486.0;96974.0;bus
39162;0;1;7750.link:41757;319084.link:39197;12526;889712;1596751_07:05:00;378316.0;337282.0;bus
244796;0;5;89375.link:18799;130572.link:14643;19170;1268747;278857_07:09:00;41137.0;539706.0;bus
225834;0;1;4302.link:1479;130572.link:14643;19170;1268747;278857_07:09:00;193450.0;539706.0;bus
126599;0;1;53851.link:61582;458433.link:24695;966;9465;1090067_07:17:00;96974.0;413913.0;bus
128091;0;1;130726.link:32988;526251.link:42051;5409;1451762;1447000_07:10:00;552946.0;41520.0;bus
92445;0;3;53851.link:61582;458433.link:24695;966;9465;1090067_07:17:00;96974.0;413913.0;bus
311550;0;3;53851.link:61582;458433.link:24695;966;9465;1090067_07:17:00;96974.0;413913.0;bus
84654;0;1;410295.link:55715;526251.link:42051;5409;1451762;1447000_07:10:00;402724.0;41520.0;bus
359918;0;1;148147.link:37344;612297.link:14860;12533;1059320;1059320_07:18:00;272239.0;510106.0;bus
187460;0;1;550946.link:6124;526251.link:42051;5409;1451762;1447000_07:10:00;323161.0;41520.0;bus
313123;0;1;116271.link:5331;526251.link:42051;5409;1451762;1447000_07:10:00;203737.0;41520.0;bus
77796;0;1;406280.link:54742;208901.link:53992;8390;98964;1094899_07:05:00;493871.0;503678.0;bus
250688;0;1;607389.link:54776;526251.link:42051;5409;1451762;1447000_07:10:00;640541.0;41520.0;bus
93138;0;1;418670.link:6208;526251.link:42051;5409;1451762;1447000_07:10:00;602778.0;41520.0;bus
126149;0;1;53851.link:61582;458433.link:24695;966;9465;1090067_07:17:00;96974.0;413913.0;bus
126256;0;1;511025.link:69065;526251.link:42051;5409;1451762;1447000_07:10:00;211576.0;41520.0;bus
44875;0;1;95046.link:81714;196016.link:56529;22781;277292;174288_07:06:00;38137.0;188440.0;bus
272985;0;1;529716.link:22031;227726.link:55839;18309;1604018;1604018_07:00:00;176002.0;79241.0;bus
251757;0;1;529716.link:22031;227726.link:55839;18309;1604018;1604018_07:00:00;176002.0;79241.0;bus
75278;0;1;117201.link:76457;559224.link:76140;7839;29708;637031_06:55:00;95392.0;220682.0;bus
130628;0;1;69473.link:79402;604219.link:59410;13951;298549;298549_07:09:00;279185.0;96974.0;bus
213073;0;1;529716.link:22031;227726.link:55839;18309;1604018;1604018_07:00:00;176002.0;79241.0;bus
84492;0;1;130726.link:32988;6776.link:11508;5409;1451762;1447000_07:10:00;552946.0;138454.0;bus
55329;0;1;332338.link:47612;568217.link:68768;18092;236536;1139986_07:26:00;202857.0;619329.0;bus
