node_index,source_node_id,pos_x,pos_y,is_stop_only
468,1075903268,693698.072616564,5396783.853293933,False
469,1075903325,696111.9630089222,5399435.271159844,False
470,1075903366,696147.0161226942,5393573.721645622,False
471,1075903445,693701.5733369237,5396712.990671123,False
472,1075903523,696619.3903758388,5392303.229194933,False
473,1075903525,694272.5333194246,5395976.362739458,False
474,1075903632,697438.9594829477,5392998.026719987,False
475,1075903646,696597.6566960613,5391751.0123310285,False
476,1075903684,694148.7525292883,5396800.782338491,False
477,1075903805,697540.690259794,5392952.6966058,False
478,1075903983,693101.3247547973,5396087.51867573,False
479,1075904084,694140.0287106478,5396379.818490529,False
480,1075904288,696567.0844241594,5391692.66705138,False
481,1075904395,697237.215357248,5394707.417403962,False
482,1075904593,697649.9219827912,5393045.353446025,False
483,1075904759,693353.4780767357,5395962.961617774,False
484,1075904859,697381.5173706383,5394621.729758382,False
485,1075904943,696917.7849943006,5391333.653434312,False
486,1075905012,695898.5868083533,5393693.830968024,False
487,1075905028,694124.965147298,5396735.228902989,False
488,1075905203,696901.7007636065,5391482.860960558,False
489,1075905281,696534.6946008347,5393380.577243893,False
490,1075905352,696317.8317484353,5399562.295198839,False
491,1075905402,697378.7924762631,5394608.469400117,False
492,1075905437,697746.4609824531,5392677.474428981,False
493,1075905461,696711.5042392374,5391287.123473339,False
494,10762034599,688667.5296623698,5387583.062711538,False
495,10762034604,688654.4610507111,5387501.943310614,False
496,10762061907,688556.1948298905,5387532.841390805,False
497,10762061924,688580.6496762701,5387683.484668322,False
498,10762061925,688556.919693003,5387600.1387976715,False
499,10762061929,688513.6542238647,5387478.841072844,False
500,10762061930,688529.7024533291,5387497.537977492,False
501,10762061932,688575.5528516333,5387447.958005196,False
502,10762061933,688592.2049423978,5387427.953793946,False
503,10762061935,688543.4171643261,5387413.711580325,False
504,10762061938,688550.0361297359,5387524.634723236,False
505,10762061940,688422.8360837685,5387534.102977851,False
506,10765341296,703200.5963844523,5356866.69485537,False
507,107655076,727370.0198999617,5343909.852041456,False
508,107655107,727289.6587714817,5343894.160328693,False
509,107655114,727240.180427406,5343886.155962618,False
510,10765683322,702857.9408605277,5356853.389679084,False
511,10765683324,702848.7398638248,5356852.148589154,False
512,10765927810,687165.3143347477,5401490.471598225,False
513,10770706497,702296.0286444025,5356588.324710114,False
514,10770706498,702234.8027788195,5356622.332444137,False
515,10770706499,702254.4307695923,5356611.870026819,False
516,10772740272,712713.6637105428,5365891.742732016,False
517,10772740275,712766.4616267013,5365807.584176924,False
518,10772740279,712922.3769806064,5365881.477250962,False
519,10772740280,712875.9236954274,5365859.464495773,False
520,10772740283,712816.7594458652,5365831.420967723,False
521,10777193480,706508.6964101037,5365406.161458184,False
522,10777193484,706495.2299962544,5365405.447987037,False
523,1077811387,683196.0601241117,5398127.41505253,False
524,1077811389,683098.9875522458,5398149.6454963125,False
525,1077811391,688401.6455504497,5400411.557611166,False
526,1077811393,688249.1997197737,5400449.46145801,False
527,1077811395,686641.6506030397,5399869.492110753,False
528,10780577235,680692.9704867373,5379739.718016594,False
529,10780577276,681011.818093504,5379798.47544053,False
530,107830081,706667.52490672,5346081.28098854,False
531,107830093,706325.6343698782,5347469.116526063,False
532,107830100,706159.2194634003,5347469.268062027,False
533,107830105,706086.0454213691,5347472.140094167,False
534,107830114,706008.9100979039,5347474.803043126,False
535,107830122,706158.1919856404,5347388.596306684,False
536,107830244,705195.4235123451,5347421.808513875,False
537,107830261,704838.8321852986,5347128.673274414,False
538,1078641735,709283.65010719,5371145.38141761,False
539,1078663079,709475.646787907,5371204.6083131265,False
540,10786705829,703828.6132624625,5356011.170871464,False
541,10786705830,703829.3877861374,5356012.956889138,False
542,10786705844,704058.1498027659,5356543.442675797,False
543,1078688656,709810.1514251423,5370740.371498785,False
544,1078688812,709710.9274047886,5370659.42171555,False
545,1078688846,709817.4428496795,5370697.082581055,False
546,1078732138,710104.2067084569,5370963.165725764,False
547,10789635559,709140.4382669211,5364092.01217981,False
548,1079131344,709316.9208250772,5371423.1817288585,False
549,1079178588,709000.6897899986,5371597.416541493,False
550,1079329079,708309.0642977236,5371326.420491639,False
551,1079329142,708454.1693059455,5371217.640608094,False
552,1079384522,680002.1014860508,5378488.2850013925,False
553,1079422404,681088.212067569,5383770.78265968,False
554,1079422405,680157.9258315705,5384403.667353794,False
